  #    ,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Year
70,Barasat,17,GEN,West Bengal,Kakali Ghosh Dastidar,All India Trinamool Congress,"12,26,654","10,26,860",83.70%,"1,22,901",12.00%,2009
71,Bardhaman Purba,38,SC,West Bengal,Anup Kumar Saha,Communist Party Of India (MARXIST),"12,89,311","11,24,896",87.30%,"59,419",5.30%,2009
72,Bardoli,23,ST,Gujarat,Chaudhari Tusharbhai Amrasinhbhai,Indian National Congress,"14,40,215","8,32,705",57.80%,"58,985",7.10%,2009
73,Bareilly,25,GEN,Uttar Pradesh [2000 Onwards],Praveen Singh Aron,Indian National Congress,"14,01,423","7,05,939",50.40%,"9,338",1.30%,2009
74,Bargarh,1,GEN,Orissa,Sanjay Bhoi,Indian National Congress,"13,20,274","9,19,459",69.60%,"98,444",10.70%,2009
75,Barmer,17,GEN,Rajasthan,Harish Choudhary,Indian National Congress,"14,41,456","7,86,516",54.60%,"1,19,106",15.10%,2009
76,Barpeta,6,GEN,Assam,Ismail Hussain,Indian National Congress,"12,39,607","9,02,287",72.80%,"30,429",3.40%,2009
77,Barrackpore,15,GEN,West Bengal,Dinesh Trivedi,All India Trinamool Congress,"10,81,237","8,70,792",80.50%,"56,024",6.40%,2009
78,Basirhat,18,GEN,West Bengal,Sk. Nurul Islam,All India Trinamool Congress,"11,98,579","10,38,520",86.70%,"60,383",5.80%,2009
79,Bastar,10,ST,Chhattisgarh,Baliram Kashyap,Bharatiya Janta Party,"11,93,116","5,64,742",47.30%,"1,00,262",17.80%,2009
80,Basti,61,GEN,Uttar Pradesh [2000 Onwards],Arvind Kumar Chaudhary,Bahujan Samaj Party,"15,70,657","7,73,985",49.30%,"1,05,210",13.60%,2009
81,Bathinda,11,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,"13,36,790","10,48,144",78.40%,"1,20,948",11.50%,2009
82,Beed,39,GEN,Maharashtra,Munde Gopinathrao Pandurang,Bharatiya Janta Party,"16,37,239","10,74,052",65.60%,"1,40,952",13.10%,2009
83,Begusarai,24,GEN,Bihar [2000 Onwards],Dr. Monazir Hassan,Janata Dal (United),"14,73,263","7,18,408",48.80%,"40,837",5.70%,2009
84,Belgaum,2,GEN,Karnataka,Angadi Suresh Channabasappa,Bharatiya Janta Party,"13,78,238","7,54,295",54.70%,"1,18,687",15.70%,2009
85,Bellary,9,ST,Karnataka,J. Shantha,Bharatiya Janta Party,"14,01,258","8,60,948",61.40%,"2,243",0.30%,2009
86,Berhampur,20,GEN,Orissa,Sidhant Mohapatra,Biju Janata Dal,"12,07,552","7,11,181",58.90%,"57,287",8.10%,2009
87,Betul,29,ST,Madhya Pradesh [2000 Onwards],Jyoti Dhurve,Bharatiya Janta Party,"12,86,761","6,36,564",49.50%,"97,317",15.30%,2009
88,Bhadohi,78,GEN,Uttar Pradesh [2000 Onwards],Gorakhnath,Bahujan Samaj Party,"15,19,449","6,58,731",43.40%,"12,963",2.00%,2009
89,Bhadrak,7,SC,Orissa,Arjun Charan Sethi,Biju Janata Dal,"13,72,356","9,29,526",67.70%,"54,938",5.90%,2009
90,Bhagalpur,26,GEN,Bihar [2000 Onwards],Syed Shahnawaz Hussain,Bharatiya Janta Party,"14,33,346","6,29,032",43.90%,"55,811",8.90%,2009
91,Bhandara - Gondiya,11,GEN,Maharashtra,Patel Praful Manoharbhai,Nationalist Congress Party,"14,50,477","10,30,995",71.10%,"2,51,915",24.40%,2009
92,Bharatpur,9,SC,Rajasthan,Ratan Singh,Indian National Congress,"14,37,111","5,60,919",39.00%,"81,454",14.50%,2009
93,Bharuch,22,GEN,Gujarat,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janta Party,"13,11,539","7,49,381",57.10%,"27,232",3.60%,2009
94,Bhavnagar,15,GEN,Gujarat,Rajendrasinh Ghanshyamsinh Rana (Rajubhai Rana),Bharatiya Janta Party,"13,81,619","6,23,341",45.10%,"5,893",0.90%,2009
95,Bhilwara,23,GEN,Rajasthan,C P Joshi,Indian National Congress,"14,92,687","7,54,956",50.60%,"1,35,368",17.90%,2009
96,Bhind,2,SC,Madhya Pradesh [2000 Onwards],Ashok Argal Chhaviram,Bharatiya Janta Party,"13,64,411","5,23,783",38.40%,"18,886",3.60%,2009
97,Bhiwandi,23,GEN,Maharashtra,Taware Suresh Kashinath,Indian National Congress,"14,83,176","5,84,180",39.40%,"41,364",7.10%,2009
98,Bhiwani-Mahendragarh,8,GEN,Haryana,Shruti Choudhry,Indian National Congress,"12,12,513","8,64,504",71.30%,"55,577",6.40%,2009
99,Bhongir,14,GEN,Andhra Pradesh,Komatireddy Raj Gopal Reddy,Indian National Congress,"14,78,391","11,29,371",76.40%,"1,39,888",12.40%,2009
100,Bhopal,19,GEN,Madhya Pradesh [2000 Onwards],Kailash Joshi,Bharatiya Janta Party,"14,61,714","6,59,263",45.10%,"65,157",9.90%,2009
101,Bhubaneswar,18,GEN,Orissa,Prasanna Kumar Patasani,Biju Janata Dal,"14,47,002","7,10,998",49.10%,"2,52,760",35.60%,2009
102,Bidar,7,GEN,Karnataka,N.Dharam Singh,Indian National Congress,"14,70,507","7,79,256",53.00%,"39,619",5.10%,2009
103,Bijapur,4,SC,Karnataka,Jigajinagi Ramesh Chandappa,Bharatiya Janta Party,"13,73,604","6,49,623",47.30%,"42,404",6.50%,2009
104,Bijnor,4,GEN,Uttar Pradesh [2000 Onwards],Sanjay Singh Chauhan,Rashtriya Lok Dal,"12,87,070","7,07,792",55.00%,"28,430",4.00%,2009
105,Bikaner,2,SC,Rajasthan,Arjun Ram Meghwal,Bharatiya Janta Party,"13,81,203","5,69,941",41.30%,"19,575",3.40%,2009
106,Bilaspur,5,GEN,Chhattisgarh,Dilip Singh Judev,Bharatiya Janta Party,"14,72,793","7,70,089",52.30%,"20,139",2.60%,2009
107,Birbhum,42,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,"12,21,893","10,17,879",83.30%,"61,519",6.00%,2009
108,Bishnupur,37,SC,West Bengal,Susmita Bauri,Communist Party Of India (MARXIST),"12,37,948","10,54,282",85.20%,"1,29,366",12.30%,2009
109,Bolangir,10,GEN,Orissa,Kalikesh Narayan Singh Deo,Biju Janata Dal,"14,43,484","10,11,776",70.10%,"90,835",9.00%,2009
110,Bolpur,41,SC,West Bengal,Doctor Ram Chandra Dome,Communist Party Of India (MARXIST),"13,07,730","10,79,122",82.50%,"1,26,882",11.80%,2009
111,Bulandshahr,14,SC,Uttar Pradesh [2000 Onwards],Kamlesh,Samajwadi Party,"14,82,749","6,68,557",45.10%,"66,065",9.90%,2009
112,Buldhana,5,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,"13,82,736","8,53,885",61.80%,"28,078",3.30%,2009
113,Burdwan - Durgapur,39,GEN,West Bengal,Sk. Saidul Haque,Communist Party Of India (MARXIST),"13,53,380","11,36,226",84.00%,"1,08,237",9.50%,2009
114,Buxar,33,GEN,Bihar [2000 Onwards],Jagada Nand Singh,Rashtriya Janata Dal,"13,40,892","6,23,629",46.50%,"2,238",0.40%,2009
115,Chalakudy,11,GEN,Kerala,K.P. Dhanapalan,Indian National Congress,"10,75,390","7,94,306",73.90%,"71,679",9.00%,2009
116,Chamarajanagar,22,SC,Karnataka,R.Dhruvanarayana,Indian National Congress,"14,33,825","9,73,651",67.90%,"4,002",0.40%,2009
117,Chandauli,76,GEN,Uttar Pradesh [2000 Onwards],Ramkishun,Samajwadi Party,"14,46,259","6,70,998",46.40%,459,0.10%,2009
118,Chandigarh,1,GEN,Chandigarh,Pawan Kumar Bansal,Indian National Congress,"5,24,444","3,43,579",65.50%,"58,967",17.20%,2009
119,Chandni Chowk,1,GEN,Delhi [1977 Onwards],Kapil Sibal,Indian National Congress,"14,13,535","7,80,507",55.20%,"2,00,710",25.70%,2009
120,Chandrapur,13,GEN,Maharashtra,Ahir Hansaraj Gangaram,Bharatiya Janta Party,"15,36,352","8,98,509",58.50%,"32,495",3.60%,2009
121,Chatra,4,GEN,Jharkhand,Inder Singh Namdhari,Independent,"10,37,665","4,73,936",45.70%,"16,178",3.40%,2009
122,Chelvella,10,GEN,Andhra Pradesh,Jaipal Reddy Sudini,Indian National Congress,"16,81,664","10,84,394",64.50%,"18,532",1.70%,2009
123,Chennai Central,4,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munetra Kazhagam,"10,00,705","6,10,372",61.00%,"33,454",5.50%,2009
124,Chennai North,2,GEN,Tamil Nadu,Elangovan T.K.S,Dravida Munetra Kazhagam,"10,16,663","6,59,927",64.90%,"19,153",2.90%,2009
125,Chennai South,3,GEN,Tamil Nadu,Rajendran C,All India Anna Dravida Munnetra Kazhagam,"11,62,062","7,28,118",62.70%,"32,935",4.50%,2009
126,Chhindwara,16,GEN,Madhya Pradesh [2000 Onwards],Kamal Nath,Indian National Congress,"11,54,249","8,29,304",71.90%,"1,21,220",14.60%,2009
127,Chhota Udaipur,21,ST,Gujarat,Rathwa Ramsingbhai Patalbhai,Bharatiya Janta Party,"14,12,306","7,65,220",54.20%,"26,998",3.50%,2009
128,Chidambaram,27,SC,Tamil Nadu,"Thirumaavalavan, Thol",Viduthalai Chiruthaigal Katchi,"11,26,828","8,69,428",77.20%,"99,083",11.40%,2009
129,Chikkballapur,27,GEN,Karnataka,M.Veerappa Moily,Indian National Congress,"14,37,155","9,78,715",68.10%,"51,381",5.20%,2009
130,Chikkodi,1,GEN,Karnataka,Katti Ramesh Vishwanath,Bharatiya Janta Party,"12,84,427","8,68,001",67.60%,"55,287",6.40%,2009
131,Chitradurga,18,SC,Karnataka,Janardhana Swamy,Bharatiya Janta Party,"15,34,169","8,36,390",54.50%,"1,35,571",16.20%,2009
132,Chittoor,42,SC,Andhra Pradesh,Naramalli Sivaprasad,Telugu Desam,"12,91,921","10,45,061",80.90%,"10,659",1.00%,2009
133,Chittorgarh,21,GEN,Rajasthan,(Dr.)Girija Vyas,Indian National Congress,"16,01,444","7,95,308",49.70%,"72,778",9.20%,2009
134,Churu,3,GEN,Rajasthan,Ram Singh Kaswan,Bharatiya Janta Party,"15,32,266","8,02,665",52.40%,"12,440",1.50%,2009
135,Coimbatore,20,GEN,Tamil Nadu,Natarajan.P.R.,Communist Party Of India (MARXIST),"11,63,781","8,25,118",70.90%,"38,664",4.70%,2009
136,Cooch Behar,1,SC,West Bengal,Nripendra Nath Roy,All India Forward Bloc,"13,29,086","11,22,253",84.40%,"33,749",3.00%,2009
137,Cuddalore,26,GEN,Tamil Nadu,Alagiri S,Indian National Congress,"9,86,030","7,50,000",76.10%,"23,532",3.10%,2009
138,Cuttack,14,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,"12,83,576","8,13,330",63.40%,"2,36,292",29.10%,2009
139,Dadra & Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Patel Natubhai Gomanbhai,Bharatiya Janta Party,"1,50,704","1,10,363",73.20%,618,0.60%,2009
140,Dahod,19,ST,Gujarat,Dr. Prabha Kishor Taviad,Indian National Congress,"11,94,821","5,34,414",44.70%,"58,536",11.00%,2009
141,Dakshina Kannada,17,GEN,Karnataka,Nalin Kumar Kateel,Bharatiya Janta Party,"13,64,641","10,16,135",74.50%,"40,420",4.00%,2009
142,Daman & Diu,1,GEN,Daman & Diu,Lalubhai Patel,Bharatiya Janta Party,"95,382","68,023",71.30%,"24,838",36.50%,2009
143,Damoh,7,GEN,Madhya Pradesh [2000 Onwards],Shivraj Bhaiya,Bharatiya Janta Party,"13,57,985","5,99,295",44.10%,"70,877",11.80%,2009
144,Darbhanga,14,GEN,Bihar [2000 Onwards],Kirti Azad,Bharatiya Janta Party,"13,07,067","5,45,726",41.80%,"46,453",8.50%,2009
145,Darjeeling,4,GEN,West Bengal,Jaswant Singh,Bharatiya Janta Party,"12,15,464","9,67,400",79.60%,"2,53,289",26.20%,2009
146,Dausa,11,ST,Rajasthan,Kirodi Lal,Independent,"13,15,810","8,41,583",64.00%,"1,37,759",16.40%,2009
147,Davanagere,13,GEN,Karnataka,G.M. Siddeswara,Bharatiya Janta Party,"13,44,920","9,07,281",67.50%,"2,024",0.20%,2009
148,Deoria,66,GEN,Uttar Pradesh [2000 Onwards],Gorakh Prasad Jaiswal,Bahujan Samaj Party,"15,80,745","7,15,579",45.30%,"41,779",5.80%,2009
149,Dewas,21,SC,Madhya Pradesh [2000 Onwards],Sajjan Singh Verma,Indian National Congress,"12,97,313","7,87,381",60.70%,"15,457",2.00%,2009
150,Dhanbad,7,GEN,Jharkhand,Pashupati Nath Singh,Bharatiya Janta Party,"18,06,475","8,13,521",45.00%,"58,047",7.10%,2009
151,Dhar,25,ST,Madhya Pradesh [2000 Onwards],Gajendra Singh Rajukhedi,Indian National Congress,"11,97,172","6,54,832",54.70%,"2,661",0.40%,2009
152,Dharmapuri,10,GEN,Tamil Nadu,Thamaraiselvan. R,Dravida Munetra Kazhagam,"10,69,601","7,78,634",72.80%,"1,35,942",17.50%,2009
153,Dharwad,11,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,"14,11,500","7,98,496",56.60%,"1,37,663",17.20%,2009
154,Dhaurahra,29,GEN,Uttar Pradesh [2000 Onwards],Kunwar Jitin Prasad,Indian National Congress,"12,69,584","7,59,548",59.80%,"1,84,509",24.30%,2009
155,Dhenkanal,9,GEN,Orissa,Tathagata Satpathy,Biju Janata Dal,"12,83,608","8,56,631",66.70%,"1,86,587",21.80%,2009
156,Dhubri,4,GEN,Assam,Badruddin Ajmal,Assam United Democratic Front,"13,71,949","10,46,985",76.30%,"1,84,419",17.60%,2009
157,Dhule,2,GEN,Maharashtra,Sonawane Pratap Narayanrao,Bharatiya Janta Party,"15,75,227","6,70,487",42.60%,"19,419",2.90%,2009
158,Diamond Harbour,21,GEN,West Bengal,Somendra Nath Mitra,All India Trinamool Congress,"13,02,398","10,54,561",81.00%,"1,51,689",14.40%,2009
159,Dibrugarh,13,GEN,Assam,Paban Singh Ghatowar,Indian National Congress,"11,14,965","7,50,734",67.30%,"35,143",4.70%,2009
160,Dindigul,22,GEN,Tamil Nadu,Chitthan N S V,Indian National Congress,"10,85,696","8,21,253",75.60%,"54,347",6.60%,2009
161,Dindori,20,ST,Maharashtra,Chavan Harishchandra Deoram,Bharatiya Janta Party,"14,32,938","6,81,629",47.60%,"37,347",5.50%,2009
162,Domariyaganj,60,GEN,Uttar Pradesh [2000 Onwards],Jagdambika Pal,Indian National Congress,"14,99,679","7,36,139",49.10%,"76,566",10.40%,2009
163,Dum Dum,16,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,"12,12,220","9,76,769",80.60%,"20,478",2.10%,2009
164,Dumka,2,ST,Jharkhand,Shibu Soren,Jharkhand Mukti Morcha,"11,28,361","6,22,736",55.20%,"18,812",3.00%,2009
165,Durg,7,GEN,Chhattisgarh,Saroj Pandey,Bharatiya Janta Party,"16,20,400","9,05,900",55.90%,"9,954",1.10%,2009
166,East Delhi,3,GEN,Delhi [1977 Onwards],Sandeep Dikshit,Indian National Congress,"16,04,795","8,57,422",53.40%,"2,41,053",28.10%,2009
167,Eluru,27,GEN,Andhra Pradesh,Kavuri Sambasiva Rao,Indian National Congress,"12,75,575","10,84,439",85.00%,"42,783",3.90%,2009
168,Ernakulam,12,GEN,Kerala,Prof. K V Thomas,Indian National Congress,"10,23,053","7,45,856",72.90%,"11,790",1.60%,2009
169,Erode,17,GEN,Tamil Nadu,Ganeshamurthi.A.,Marumalarchi Dravida Munnetra Kazhagam,"10,10,079","7,68,476",76.10%,"49,336",6.40%,2009
170,Etah,22,GEN,Uttar Pradesh [2000 Onwards],Kalyan Singh R O Madholi,Independent,"12,78,295","5,68,046",44.40%,"1,28,268",22.60%,2009
171,Etawah,41,SC,Uttar Pradesh [2000 Onwards],Premdas,Samajwadi Party,"14,16,867","6,38,202",45.00%,"46,746",7.30%,2009
172,Faizabad,54,GEN,Uttar Pradesh [2000 Onwards],Nirmal Khatri,Indian National Congress,"15,00,160","7,49,262",50.00%,"54,228",7.20%,2009
173,Faridabad,10,GEN,Haryana,Avtar Singh Bhadana,Indian National Congress,"11,03,046","6,24,896",56.70%,"68,201",10.90%,2009
174,Faridkot,9,SC,Punjab,Paramjit Kaur Gulshan,Shiromani Akali Dal,"12,88,090","9,30,521",72.20%,"62,042",6.70%,2009
175,Farrukhabad,40,GEN,Uttar Pradesh [2000 Onwards],Salman Khursheed,Indian National Congress,"13,06,214","6,11,143",46.80%,"27,199",4.50%,2009
176,Fatehgarh Sahib,8,SC,Punjab,Sukhdev Singh,Indian National Congress,"12,07,556","8,38,150",69.40%,"34,299",4.10%,2009
177,Fatehpur,49,GEN,Uttar Pradesh [2000 Onwards],Rakesh Sachan,Samajwadi Party,"15,36,621","6,94,396",45.20%,"52,228",7.50%,2009
178,Fatehpur Sikri,19,GEN,Uttar Pradesh [2000 Onwards],Seema Upadhyay,Bahujan Samaj Party,"13,45,742","6,95,511",51.70%,"9,936",1.40%,2009
